OTU;taxo1;taxo2;taxo3;taxo4;taxo5;taxo6;taxo7;taxo8;LSA_feb_16;LCL_feb_16;LSC_aug_16;LCT_oct_16;LCL_sep_16;LSA_oct_16;LSC_may_16;LSA_aug_16;LSC_oct_16;LCT_jul_17;LCL_nov_16;LCL_jul_17;LSA_may_17;LSC_feb_17;LCL_sep_17_F;LCL_sep_17;LCT_sep_17;LCT_sep_17_F;LSA_sep_17;LSA_sep_17_F;LSC_24_aug_17;LSC_jul_17;LSC_jul_17_F;LSC_31_aug_17;LSC_31_aug_17_F;LCL_jul_17_F;LCT_jul_17_F;LCL_may_17;LCL_mar_17;LSC_mar_17;LCL_jan_17;LCT_mar_17;LSA_feb_17;LCL_feb_17;LCT_jan_17;LCT_feb_17;LSA_mar_17;LSC_may_17;LSA_jan_17;LSC_jan_17;LCT_may_17;LSC_mar_16;LSA_jul_17
279;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;Unclassified;Unclassified;24;227;108;37;93;0;329;0;119;45;682;88;13;191;7;24;31;3;0;0;27;34;38;6;29;62;64;396;28;82;51;62;2;52;64;16;8;314;2;30;43;799;0
53;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Rhodoferax;Unclassified;Unclassified;135;165;56;67;31;38;181;22;69;27;67;19;11;314;8;13;28;30;13;17;32;24;33;20;41;15;176;49;350;187;91;137;359;112;39;69;89;192;75;89;11;99;8
44;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodovarius;Unclassified;Unclassified;0;0;75;850;108;0;86;0;67;488;16;5;0;5;0;36;822;0;0;0;167;73;39;131;109;0;44;0;1;0;1;18;0;2;14;2;0;21;1;0;153;3;0
482;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodovastum;Unclassified;Unclassified;0;0;0;0;0;0;3;0;0;0;1;0;0;1;0;0;1;2;0;0;3;0;1;0;0;0;299;0;0;0;0;1;0;0;0;0;0;17;0;0;0;0;0
347;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodovastum;Unclassified;Unclassified;0;0;1;0;0;0;1;0;2;0;0;0;0;358;0;0;0;1;0;0;2;0;24;1;4;0;26;0;3;16;0;43;0;0;2;6;0;17;0;45;2;2;0
360;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodovastum;Unclassified;Unclassified;0;0;0;0;1;0;109;1;4;0;2;0;0;66;0;0;0;0;0;0;1;2;8;2;3;0;16;0;1;7;0;91;0;0;23;28;0;61;0;35;43;2;0
271;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Rhodovastum;Unclassified;Unclassified;0;0;0;0;0;0;8;0;3;0;0;0;0;145;0;0;0;3;0;0;0;0;2;0;1;0;60;0;0;11;0;218;0;0;119;107;0;15;0;155;4;11;0
827;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas;Unclassified;Unclassified;0;0;2;4;0;0;1;0;11;21;0;0;0;0;0;0;11;0;0;0;1;0;3;1;1;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
43;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas;Unclassified;Unclassified;0;0;342;25;1;0;46;0;321;24;2;14;0;33;2;2;151;1;0;0;34;301;95;32;50;0;3;0;0;7;2;3;0;2;0;1;0;15;0;24;4;2;0
77;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Roseomonas;Unclassified;Unclassified;0;7;3;193;737;52;0;171;4;46;451;3;0;0;8;52;6;1;6;11;6;2;2;3;5;0;4;0;2;0;17;0;0;11;0;0;0;0;0;0;0;0;163
461;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sandaracinaceae;Sandaracinus;Unclassified;Unclassified;0;0;1;2;15;3;1;1;35;0;0;5;0;0;11;40;1;0;2;6;5;3;6;5;9;173;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
775;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Sandaracinaceae;Sandaracinus;Unclassified;Unclassified;0;0;0;0;0;4;0;7;48;0;0;0;0;0;0;0;0;0;3;5;2;1;1;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
346;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sandarakinorhabdus;IMCC25606;Unclassified;0;0;0;0;115;0;0;0;0;0;106;154;0;0;1;50;0;0;0;0;0;0;0;0;0;9;0;7;0;0;7;0;0;3;0;0;0;0;0;0;0;0;0
864;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Schlesneriaceae;Schlesneria;Unclassified;Unclassified;0;0;0;0;0;0;2;0;4;0;0;0;0;57;0;0;0;2;0;0;0;0;0;1;5;0;1;0;0;3;0;24;0;0;2;1;0;3;0;7;0;0;0
561;Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Schlesneriaceae;Schlesneria;Unclassified;Unclassified;0;11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125;0;2;46;0;10;9;15;0;1;0;0;0;0;0
