Family;Genus;Species;Diapo;Volume_code;Volume;LCT_jan_17;LCT_feb_17;LCT_mar_17;LCT_may_17;LCT_jul_17;LCT_sep_17;LCT_oct_16;LCL_jan_17;LCL_feb_17;LCL_mar_17;LCL_may_17;LCL_jul_17;LCL_sep_17;LSA_jan_17;LSA_feb_17;LSA_mar_17;LSA_may_17;LSA_jul_17;LSA_sep_17;LSA_oct_16;LSC_jan_17;LSC_feb_17;LSC_mar_17;LSC_may_17;LSC_jul_17;LSC_24_aug_17;LSC_31_aug_17;LSC_sep_17
Flagellates;Choanoflagellate;unclassified;15;Unknown_small;40;0;0;0;0;0;32.43;0;90.06;0;0;0;0;5.7;0;0;0;0;0;104.06;0;0;0;0;0;195.87;21.87;103.89;0
Haptophytes;Chrysochromulina;parva;16;Chrysophytes;232;0;0;0;0;0;0;0;0;0;0;0;0;0;240.59;566.38;0;8436.43;109.36;14.87;349.96;0;0;0;0;0;0;0;0
Cyanobacteria;Chroococcus;unclassified;17;Unknown_small;227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.73;35;0;0
Chlorophyta;Coelastrum;unclassified;18;Chlorophytes;19;0;0;0;0;0;0;0;0;0;0;11.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chlorophyta;Crucigeniella;unclassified;19;Chlorophytes;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.75;5.47;0
Cryptophyta;Cryptomonas;marssonii;20;Unknown_small;149;0;9.01;22.1;82.02;36.34;0;0;0;0;10.77;218.72;1000.21;359.21;0;35.92;0;3262.09;21.87;624.35;0;0;145.02;0;33.15;134.66;139.98;158.57;0
Cryptophyta;Cryptomonas;ovata;21;Unknown_small;2469;2.46;19.73;1.38;0;0;0;0;0;0;0;1.68;0;22.11;0;19.34;26.73;262.47;65.62;267.58;0;5.18;16.01;2.3;16.58;73.45;0;0;0
Cryptophyta;Cryptomonas;unclassified;22;Unknown_small;1149;0;0;0;0;0;0;0;0;0;12.11;0;35.47;0;0;0;0;787.4;0;0;0;0;0;0;16.58;0;52.49;60.15;0
Diatom;c.f. Cyclotella;unclassified;23;Diatom_small;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.24;35;16.4;0
Diatom;Cymbella;unclassified;24;Diatom_small;312;0.62;0;0;0;0;0;0;0;0;0.67;0;0;0;0;0;0;0;0;0;16.4;0;0;0;0;0;0;0;0
